Length	RecursiveTime	DynamicTime
1	4.728e-06	2.092e-06
100	3.8078e-05	5.0307e-05
200	3.4208e-05	0.000107065
300	3.1606e-05	0.000305926
400	5.7549e-05	0.000418336
500	5.5875e-05	0.000219775
600	3.551e-05	0.000282151
700	4.1576e-05	0.000353312
800	6.2388e-05	0.000494354
900	5.3906e-05	0.000631701
1000	8.6574e-05	0.000678545
1100	6.6777e-05	0.000941689
1200	9.782e-05	0.000946373
1300	7.3364e-05	0.00122013
1400	8.1025e-05	0.00132457
1500	0.000149134	0.00171015
1600	9.2878e-05	0.00188815
1700	0.000139076	0.00223989
1800	0.000134787	0.00239262
1900	0.000109152	0.00398443
2000	0.000113979	0.0029165
